l1_size,bw(GB/s)
128,19.6259
129,19.9292
130,19.9553
131,19.9223
132,19.9683
133,19.9401
134,19.9609
135,19.9289
136,19.9821
137,19.9546
138,19.9727
139,19.9414
140,19.9953
141,19.9621
142,19.99
143,19.9615
144,20.0035
145,19.9732
146,20.0003
147,19.9705
148,20.0154
149,19.9858
150,20.0101
151,19.979
152,20.0246
153,17.8497
154,12.2028
155,10.7458
156,9.92666
157,9.45601
158,9.02509
159,9.15297
160,9.20187
161,8.76315
162,8.16822
163,7.87918
164,7.83346
165,7.70765
166,7.57824
167,7.64439
168,7.56248
169,7.65078
170,7.59429
171,7.62781
172,7.61057
173,7.59359
174,7.59288
175,7.59437
176,7.56622
177,7.58158
178,7.55367
179,7.59491
180,7.55863
181,7.59659
182,7.56794
183,7.60787
184,7.57312
185,7.60217
186,7.61117
187,7.60787
188,7.59912
189,7.58709
190,7.56535
191,7.60877
192,7.57367
193,7.59618
194,7.55417
195,7.6114
196,7.57719
197,7.61235
198,7.56899
199,7.61891
200,7.56757
201,7.60476
202,7.60728
203,7.63404
204,7.60043
205,7.62818
206,7.58313
207,7.6352
208,7.59129
209,7.6282
210,7.58197
211,7.61808
212,7.60436
213,7.61707
214,7.6055
215,7.62492
216,7.59846
217,7.59984
218,7.61068
219,7.61061
220,7.57508
221,7.59338
222,7.59552
223,7.59841
224,7.58272
225,7.5904
226,7.59422
227,7.63164
228,7.58466
229,7.61717
230,7.59632
231,7.62298
232,7.59392
233,7.61887
234,7.5901
235,7.63506
236,7.60854
237,7.61376
238,7.62131
239,7.62609
240,7.59349
241,7.61438
242,7.5921
243,7.6153
244,7.58057
245,7.60707
246,7.59602
247,7.62637
248,7.59741
249,7.61867
250,7.59398
251,7.61283
252,7.57431
253,7.60097
254,7.60417
255,7.60769
