l1_size(KB),latency(cycle)
128,44.8037
129,44.7258
130,44.7413
131,44.7223
132,44.7008
133,44.6945
134,44.6978
135,44.6917
136,44.6949
137,44.6889
138,44.692
139,44.6862
140,44.6893
141,44.6835
142,44.6866
143,44.6809
144,44.684
145,44.6784
146,44.6815
147,44.676
148,44.6791
149,44.6737
150,44.6767
151,44.6714
152,44.6743
153,45.7974
154,55.5666
155,64.2718
156,76.8317
157,94.3002
158,98.8837
159,109.354
160,119.052
161,132.579
162,140.982
163,147.559
164,160.945
165,169.042
166,179.948
167,185.653
168,193.599
169,196.788
170,201.536
171,204.813
172,207.207
173,208.947
174,210.105
175,211.372
176,211.847
177,211.525
178,212.688
179,213.892
180,214.247
181,214.914
182,215.207
183,215.969
184,216.048
185,216.072
186,215.892
187,215.892
188,216.026
189,215.976
190,215.975
191,216.012
192,216.068
193,216.03
194,216.059
195,215.962
196,215.934
197,215.968
198,215.849
199,215.957
200,215.86
201,215.7
202,215.855
203,215.897
204,215.9
205,215.87
206,215.879
207,215.905
208,215.947
209,215.919
210,215.927
211,215.832
212,215.81
213,215.855
214,215.834
215,215.813
216,215.758
217,215.701
218,215.765
219,215.78
220,215.793
221,215.772
222,215.762
223,215.801
224,215.864
225,215.822
226,215.812
227,215.818
228,215.765
229,215.791
230,215.763
231,215.713
232,215.695
233,215.692
234,215.644
235,215.665
236,215.68
237,215.636
238,215.663
239,215.697
240,215.743
241,215.724
242,215.741
243,215.72
244,215.691
245,215.706
246,215.697
247,215.655
248,215.63
249,215.632
250,215.597
251,215.604
252,215.611
253,215.568
254,215.584
255,215.629
