l1_size(kb),bw(GB/s)
128,15.3843
129,15.3862
130,15.3881
131,15.3899
132,15.3918
133,15.3936
134,15.3954
135,15.3971
136,15.3988
137,15.4005
138,15.4022
139,15.4039
140,15.4055
141,15.4071
142,15.4087
143,15.4103
144,15.4118
145,15.4133
146,15.4148
147,15.4163
148,15.4178
149,15.4192
150,15.4207
151,15.4221
152,15.4234
153,14.1721
154,10.1695
155,7.52303
156,7.05489
157,5.81343
158,5.70913
159,5.64395
160,5.79089
161,5.40909
162,5.2799
163,5.28419
164,5.2691
165,5.31838
166,5.26071
167,5.30064
168,5.27967
169,5.3178
170,5.28447
171,5.31703
172,5.29026
173,5.31981
174,5.29007
175,5.33628
176,5.29686
177,5.33376
178,5.29929
179,5.33462
180,5.30469
181,5.34119
182,5.30239
183,5.33731
184,5.30719
185,5.33787
186,5.30953
187,5.33943
188,5.31104
189,5.34175
190,5.3113
191,5.34047
192,5.31462
193,5.33944
194,5.30889
195,5.33517
196,5.31141
197,5.33743
198,5.31049
199,5.33827
200,5.31726
201,5.34215
202,5.31463
203,5.34031
204,5.31474
205,5.34141
206,5.31923
207,5.34341
208,5.31464
209,5.34446
210,5.31715
211,5.34277
212,5.31812
213,5.34091
214,5.31622
215,5.34531
216,5.31777
217,5.3461
218,5.3161
219,5.34242
220,5.31246
221,5.33776
222,5.31305
223,5.33566
224,5.31166
225,5.33735
226,5.31457
227,5.34248
228,5.31762
229,5.34261
230,5.3197
231,5.34651
232,5.32274
233,5.34496
234,5.32646
235,5.34479
236,5.32583
237,5.344
238,5.32095
239,5.34118
240,5.31608
241,5.33744
242,5.31685
243,5.33569
244,5.31348
245,5.33569
246,5.3146
247,5.33295
248,5.31655
249,5.33714
250,5.3173
251,5.33536
252,5.31328
253,5.33311
254,5.31536
255,5.33379
