l2_size,bw(GB/s)
1,1642.54
2,2302.06
3,2377.29
4,2811.66
5,2556.9
6,2695.11
7,3021.48
8,3001.56
9,3070.27
10,3009.06
11,4618.94
12,4533.62
13,3054.66
14,3052.89
15,3004.97
16,2874.29
17,2924.01
18,2814.76
19,4667.77
20,2766.65
21,2799.49
22,2837.24
23,2844.65
24,2888.27
25,4445.11
26,2588.46
27,2510.33
28,2416.26
29,2519.09
30,2134.33
31,2382.29
32,2324.52
33,2394
34,2293.23
35,2238.16
36,2272.91
37,1985.18
38,2156.51
39,2148.84
40,1988.73
41,2163.97
42,2088.85
43,2101.2
44,2113.77
45,2100.06
46,2274.37
47,2138.87
48,2153.39
49,2170.09
50,2203.5
51,2372.52
52,2214.34
53,2298.77
54,2264.71
55,2293.13
56,2441.36
57,2368.32
58,2370.34
59,2359
