l2_size,bw(GB/s)
1,3290.49
2,3381.52
3,2850.42
4,3868.89
5,3072.4
6,3489.7
7,3562.38
8,3118.23
9,3158.17
10,3319.94
11,3275.26
12,3319.71
13,3450.95
14,3306.09
15,3440.69
16,3403.27
17,3302.77
18,3253.01
19,3359.52
20,3157.32
21,3068.46
22,3059.25
23,3080.53
24,3166.6
25,3229.85
26,3313.28
27,3156.08
28,3116.86
29,3121.07
30,3287.1
31,3093.57
32,3119.63
33,3224.86
34,3158.28
35,3120.92
36,3357.15
37,3243.36
38,3142.68
39,3127.24
40,3207.71
41,3204.8
42,3241.93
43,3199.34
44,3013.76
45,3138.32
46,3118.74
47,3129.92
48,3201.1
49,3127.72
50,3154.42
51,3114.96
52,3057.35
53,3082.8
54,3155.41
55,3189.14
56,3080.28
57,3138.24
58,3063.1
59,3186.51
