l2_size(kb),bw(GB/s)
1024,953.863
1025,966.461
1026,1039.41
1027,1300
1028,1009.57
1029,963.473
1030,1010.58
1031,1055.66
1032,1181.12
1033,1027.85
1034,974.228
1035,1000.45
1036,1392.44
1037,1016.55
1038,1035.96
1039,1005.7
1040,1457.77
1041,1077.25
1042,1039.78
1043,1086.79
1044,1081.49
1045,1221.55
1046,1032.47
1047,1102.26
1048,1055.61
1049,1400.14
1050,1087.18
1051,1061.48
1052,1064.16
1053,1410.3
1054,1145.19
1055,1078.43
1056,1046.44
1057,1190.52
1058,1248.62
1059,1053.01
1060,1119.85
1061,1063
1062,1403.09
1063,1023.68
1064,1027.76
1065,1048.49
1066,1418.42
1067,1119.15
1068,1045.68
1069,1047.52
1070,1371.82
1071,1151.38
1072,1052.41
1073,1028.4
1074,1183.74
1075,1279.73
1076,1015.62
1077,1079.59
1078,1029.84
1079,1427.58
1080,1133.12
1081,1051.91
1082,1065.63
1083,1438.96
1084,1101.89
1085,1049.09
1086,1040.38
1087,1405.34
1088,1137.16
1089,1050.39
1090,1044.44
1091,1168.84
1092,1216.79
1093,1056.08
1094,1140.93
1095,1118.45
1096,1267.41
1097,1094.45
1098,1055.26
1099,1076.92
1100,1373.28
1101,1133.7
1102,1086.95
1103,1070.86
1104,1523.01
1105,1081.83
1106,1082.37
1107,1146.91
1108,1422.44
1109,1074.56
1110,1077.23
1111,1118.32
1112,1350.39
1113,1079.03
1114,1164.14
1115,1085.14
1116,1369.87
1117,1073.85
1118,1095.42
1119,1099.09
1120,1383.43
1121,1189.32
1122,1098.76
1123,1120.69
1124,1447.07
1125,1124.32
1126,1120.4
1127,1090.74
1128,1442.23
1129,1186.55
1130,1109.54
1131,1149.67
1132,1290.29
1133,1125.97
1134,1194.75
1135,1099.58
1136,1338.95
1137,1094.64
1138,1146.66
1139,1090.94
1140,1395.41
1141,1163.71
1142,1087.81
1143,1108.26
1144,1489.42
1145,1105.95
1146,1118.67
1147,1065.05
1148,1565.46
1149,1068.46
1150,1095.26
1151,1117.44
1152,1500.37
1153,1101.81
1154,1097.2
1155,1160.49
1156,1560.09
1157,1094.48
1158,1164.96
1159,1098.56
1160,1567.41
1161,1202.12
1162,1112.82
1163,1119.06
1164,1521.65
1165,1170.67
1166,1106.55
1167,1100.18
1168,1614.49
1169,1107.06
1170,1136.74
1171,1098.39
1172,1516.88
1173,1138.42
1174,1104.31
1175,1212.05
1176,1516.21
1177,1185.71
1178,1189.32
1179,1149.05
1180,1532.01
1181,1134.2
1182,1207.88
1183,1139.72
1184,1425.77
1185,1196.52
1186,1131.05
1187,1177.71
1188,1509.23
1189,1133.25
1190,1164.92
1191,1222.79
1192,1341.33
1193,1146.76
1194,1140.79
1195,1366.33
1196,1218.7
1197,1182.4
1198,1126.72
1199,1404.71
1200,1187.54
1201,1173.2
1202,1263.43
1203,1499.48
1204,1213.51
1205,1224.3
1206,1170.55
1207,1595.19
1208,1195.1
1209,1264.52
1210,1201.81
1211,1523.36
1212,1232.69
1213,1172.79
1214,1221.53
1215,1479.13
1216,1163.25
1217,1177.66
1218,1257.5
1219,1326.11
1220,1163.39
1221,1149.69
1222,1493.37
1223,1233.01
1224,1188.89
1225,1143.92
1226,1577.17
1227,1175.23
1228,1167.01
1229,1277.13
1230,1545.05
1231,1164.23
1232,1230.32
1233,1159.06
1234,1452.13
1235,1166.75
1236,1271.86
1237,1291.41
1238,1278.48
1239,1253.69
1240,1197.3
