l2_size(MB),latency(cycle)
1,283.576
2,282.258
3,282.642
4,282.42
5,282.351
6,282.65
7,282.634
8,287.517
9,289.166
10,288.852
11,289.118
12,289.355
13,289.496
14,289.483
15,289.495
16,289.358
17,289.499
18,289.56
19,289.616
20,289.476
21,289.486
22,289.497
23,289.54
24,289.484
25,289.434
26,289.77
27,289.874
28,291.019
29,293.424
30,295.558
31,300.571
32,306.155
33,323.885
34,335.949
35,351.375
36,372.701
37,392.112
38,405.815
39,415.787
40,459.539
41,521.99
42,557.139
43,558.366
44,565.597
45,586.307
46,586.319
47,586.352
48,586.374
49,586.342
50,586.293
51,586.418
52,586.323
53,586.322
54,586.36
55,586.518
56,586.447
57,586.445
58,586.491
59,586.33
