offset(byte),latency(cycle)
0,390
4,398
8,399
12,399
16,391
20,399
24,400
28,399
32,390
36,397
40,397
44,397
48,389
52,397
56,399
60,398
64,391
68,399
72,399
76,400
80,389
84,399
88,400
92,399
96,390
100,397
104,397
108,399
112,391
116,400
120,400
124,400
128,390
132,397
136,396
140,397
144,388
148,397
152,398
156,399
160,391
164,397
168,397
172,396
176,389
180,399
184,398
188,399
192,391
196,401
200,400
204,400
208,391
212,400
216,398
220,397
224,387
228,398
232,401
236,399
240,391
244,397
248,397
252,397
256,387
260,396
264,398
268,399
272,390
276,396
280,397
284,398
288,388
292,397
296,397
300,397
304,388
308,396
312,395
316,397
320,389
324,397
328,397
332,397
336,389
340,395
344,397
348,397
352,390
356,396
360,396
364,395
368,387
372,395
376,396
380,399
384,390
388,397
392,395
396,397
400,388
404,395
408,395
412,395
416,388
420,397
424,396
428,396
432,388
436,396
440,398
444,397
448,388
452,395
456,397
460,398
464,390
468,397
472,396
476,396
480,388
484,396
488,396
492,395
496,388
500,395
504,397
508,396
512,391
516,397
520,398
524,398
528,390
532,397
536,399
540,399
544,390
548,397
552,398
556,399
560,391
564,399
568,400
572,399
576,391
580,399
584,399
588,398
592,390
596,399
600,398
604,399
608,393
612,400
616,400
620,400
624,390
628,397
632,397
636,398
640,391
644,399
648,399
652,399
656,391
660,398
664,398
668,398
672,389
676,399
680,400
684,398
688,389
692,396
696,395
700,397
704,391
708,399
712,400
716,399
720,391
724,398
728,397
732,397
736,388
740,397
744,397
748,399
752,391
756,398
760,397
764,397
768,386
772,394
776,397
780,398
784,389
788,397
792,397
796,397
800,388
804,394
808,397
812,397
816,401
820,261
824,256
828,260
832,399
836,258
840,257
844,259
848,249
852,259
856,257
860,259
864,249
868,259
872,256
876,259
880,249
884,259
888,258
892,259
896,398
900,259
904,257
908,260
912,249
916,259
920,257
924,259
928,250
932,259
936,258
940,261
944,248
948,260
952,257
956,258
960,399
964,260
968,256
972,259
976,250
980,258
984,257
988,259
992,249
996,259
1000,258
1004,260
1008,249
1012,260
1016,256
1020,259
1024,388
1028,257
1032,255
1036,257
1040,245
1044,257
1048,254
1052,257
1056,246
1060,255
1064,254
1068,255
1072,247
1076,256
1080,254
1084,257
1088,387
1092,256
1096,254
1100,256
1104,247
1108,255
1112,256
1116,256
1120,247
1124,257
1128,254
1132,256
1136,246
1140,256
1144,254
1148,255
1152,389
1156,255
1160,254
1164,256
1168,245
1172,258
1176,254
1180,256
1184,247
1188,256
1192,254
1196,258
1200,247
1204,255
1208,255
1212,256
1216,388
1220,257
1224,253
1228,258
1232,246
1236,256
1240,254
1244,256
1248,246
1252,256
1256,255
1260,256
1264,246
1268,257
1272,253
1276,257
1280,387
1284,257
1288,258
1292,383
1296,376
1300,383
1304,384
1308,382
1312,375
1316,384
1320,383
1324,380
1328,373
1332,383
1336,384
1340,384
1344,376
1348,382
1352,382
1356,381
1360,372
1364,381
1368,381
1372,383
1376,375
1380,380
1384,381
1388,383
1392,375
1396,383
1400,382
1404,380
1408,374
1412,383
1416,382
1420,383
1424,375
1428,383
1432,382
1436,381
1440,373
1444,381
1448,381
1452,383
1456,376
1460,385
1464,383
1468,383
1472,376
1476,382
1480,380
1484,382
1488,375
1492,384
1496,381
1500,382
1504,374
1508,381
1512,382
1516,382
1520,375
1524,383
1528,383
1532,382
1536,376
1540,383
1544,383
1548,385
1552,378
1556,385
1560,383
1564,383
1568,376
1572,383
1576,384
1580,384
1584,375
1588,383
1592,384
1596,383
1600,375
1604,383
1608,385
1612,384
1616,375
1620,385
1624,385
1628,386
1632,377
1636,384
1640,383
1644,383
1648,377
1652,385
1656,384
1660,384
1664,375
1668,385
1672,386
1676,385
1680,377
1684,383
1688,384
1692,385
1696,378
1700,385
1704,384
1708,383
1712,377
1716,386
1720,385
1724,385
1728,377
1732,385
1736,382
1740,383
1744,375
1748,385
1752,385
1756,384
1760,377
1764,386
1768,385
1772,383
1776,377
1780,385
1784,384
1788,385
1792,376
1796,383
1800,383
1804,381
1808,375
1812,383
1816,381
1820,383
1824,374
1828,383
1832,381
1836,381
1840,374
1844,381
1848,382
1852,382
1856,374
1860,382
1864,381
1868,382
1872,374
1876,381
1880,381
1884,382
1888,374
1892,383
1896,383
1900,382
1904,374
1908,380
1912,380
1916,383
1920,374
1924,383
1928,384
1932,383
1936,374
1940,380
1944,381
1948,381
1952,373
1956,385
1960,384
1964,383
1968,373
1972,380
1976,381
1980,382
1984,374
1988,381
1992,382
1996,383
2000,375
2004,384
2008,384
2012,383
2016,372
2020,382
2024,381
2028,381
2032,375
2036,383
2040,385
2044,381
2048,395
2052,402
2056,403
2060,404
2064,397
2068,406
2072,404
2076,403
2080,395
2084,403
2088,401
2092,403
2096,396
2100,405
2104,405
2108,405
2112,397
2116,406
2120,405
2124,405
2128,398
2132,403
2136,403
2140,403
2144,395
2148,404
2152,405
2156,403
2160,395
2164,403
2168,404
2172,404
2176,395
2180,404
2184,405
2188,405
2192,398
2196,405
2200,404
2204,404
2208,395
2212,403
2216,404
2220,403
2224,397
2228,405
2232,405
2236,405
2240,395
2244,401
2248,403
2252,405
2256,396
2260,403
2264,404
2268,405
2272,397
2276,403
2280,405
2284,405
2288,396
2292,403
2296,404
2300,404
2304,393
2308,401
2312,400
2316,402
2320,395
2324,403
2328,403
2332,402
2336,394
2340,403
2344,402
2348,401
2352,394
2356,403
2360,403
2364,402
2368,395
2372,401
2376,400
2380,401
2384,394
2388,403
2392,403
2396,402
2400,395
2404,403
2408,403
2412,404
2416,394
2420,400
2424,401
2428,401
2432,395
2436,404
2440,403
2444,404
2448,395
2452,403
2456,403
2460,400
2464,393
2468,401
2472,402
2476,404
2480,397
2484,403
2488,403
2492,401
2496,392
2500,401
2504,403
2508,402
2512,394
2516,403
2520,403
2524,403
2528,395
2532,403
2536,401
2540,403
2544,394
2548,402
2552,401
2556,402
2560,395
2564,402
2568,403
2572,404
2576,397
2580,405
2584,405
2588,404
2592,395
2596,403
2600,401
2604,402
2608,396
2612,405
2616,405
2620,405
2624,398
2628,406
2632,405
2636,404
2640,395
2644,402
2648,404
2652,405
2656,396
2660,405
2664,405
2668,405
2672,396
2676,403
2680,402
2684,403
2688,397
2692,405
2696,406
2700,404
2704,397
2708,405
2712,405
2716,404
2720,395
2724,403
2728,402
2732,403
2736,397
2740,405
2744,406
2748,405
2752,397
2756,403
2760,403
2764,405
2768,397
2772,405
2776,406
2780,404
2784,396
2788,403
2792,403
2796,403
2800,396
2804,404
2808,403
2812,403
2816,393
2820,402
2824,401
2828,403
2832,395
2836,404
2840,404
2844,402
2848,395
2852,402
2856,410
2860,268
2864,256
2868,266
2872,265
2876,264
2880,404
2884,266
2888,263
2892,264
2896,256
2900,266
2904,263
2908,267
2912,255
2916,266
2920,263
2924,267
2928,255
2932,266
2936,263
2940,266
2944,405
2948,266
2952,263
2956,266
2960,254
2964,267
2968,262
2972,266
2976,255
2980,267
2984,263
2988,266
2992,255
2996,266
3000,263
3004,265
3008,404
3012,266
3016,263
3020,265
3024,256
3028,266
3032,263
3036,267
3040,255
3044,265
3048,264
3052,266
3056,255
3060,266
3064,264
3068,266
3072,396
3076,254
3080,250
3084,253
3088,243
3092,252
3096,250
3100,252
3104,242
3108,254
3112,249
3116,254
3120,242
3124,255
3128,250
3132,254
3136,398
3140,252
3144,251
3148,253
3152,242
3156,254
3160,249
3164,254
3168,242
3172,254
3176,250
3180,252
3184,243
3188,253
3192,250
3196,253
3200,398
3204,254
3208,250
3212,254
3216,242
3220,253
3224,250
3228,253
3232,243
3236,253
3240,250
3244,253
3248,243
3252,252
3256,251
3260,252
3264,396
3268,253
3272,249
3276,254
3280,242
3284,253
3288,251
3292,253
3296,243
3300,252
3304,250
3308,253
3312,242
3316,253
3320,249
3324,254
3328,385
3332,393
3336,393
3340,394
3344,387
3348,392
3352,393
3356,393
3360,386
3364,395
3368,396
3372,394
3376,385
3380,393
3384,393
3388,395
3392,385
3396,395
3400,397
3404,395
3408,387
3412,396
3416,394
3420,392
3424,384
3428,394
3432,395
3436,396
3440,387
3444,394
3448,393
3452,393
3456,387
3460,394
3464,393
3468,393
3472,386
3476,394
3480,393
3484,393
3488,387
3492,395
3496,395
3500,394
3504,385
3508,393
3512,393
3516,393
3520,385
3524,394
3528,393
3532,395
3536,387
3540,395
3544,395
3548,394
3552,385
3556,392
3560,395
3564,394
3568,387
3572,395
3576,395
3580,395
3584,386
3588,394
3592,393
3596,396
3600,387
3604,393
3608,394
3612,395
3616,386
3620,394
3624,394
3628,392
3632,385
3636,393
3640,393
3644,394
3648,386
3652,395
3656,393
3660,395
3664,385
3668,393
3672,394
3676,397
3680,389
3684,395
3688,395
3692,394
3696,386
3700,393
3704,393
3708,394
3712,387
3716,397
3720,396
3724,393
3728,385
3732,393
3736,395
3740,395
3744,387
3748,396
3752,395
3756,395
3760,387
3764,395
3768,395
3772,394
3776,386
3780,393
3784,393
3788,393
3792,385
3796,396
3800,395
3804,395
3808,387
3812,393
3816,392
3820,394
3824,387
3828,395
3832,393
3836,391
3840,385
3844,395
3848,394
3852,391
3856,383
3860,393
3864,395
3868,396
3872,388
3876,395
3880,395
3884,394
3888,385
3892,393
3896,393
3900,393
3904,387
3908,397
3912,396
3916,395
3920,387
3924,392
3928,393
3932,395
3936,385
3940,395
3944,397
3948,395
3952,387
3956,393
3960,392
3964,393
3968,387
3972,396
3976,395
3980,395
3984,385
3988,395
3992,394
3996,395
4000,387
4004,393
4008,395
4012,393
4016,387
4020,394
4024,395
4028,395
4032,387
4036,395
4040,395
4044,394
4048,385
4052,395
4056,395
4060,395
4064,387
4068,393
4072,392
4076,397
4080,388
4084,396
4088,395
4092,395
4096,373
4100,382
4104,383
4108,383
4112,375
4116,381
4120,381
4124,382
4128,375
4132,383
4136,384
4140,383
4144,375
4148,382
4152,383
4156,383
4160,374
4164,383
4168,384
4172,384
4176,375
4180,381
4184,382
4188,384
4192,376
4196,384
4200,381
4204,383
4208,375
4212,383
4216,381
4220,383
4224,375
4228,382
4232,381
4236,381
4240,375
4244,384
4248,383
4252,382
4256,374
4260,383
4264,382
4268,383
4272,375
4276,383
4280,381
4284,379
4288,373
4292,381
4296,382
4300,383
4304,375
4308,384
4312,384
4316,383
4320,373
4324,381
4328,383
4332,382
4336,374
4340,380
4344,383
4348,383
4352,377
4356,383
4360,384
4364,383
4368,375
4372,384
4376,385
4380,386
4384,377
4388,383
4392,383
4396,381
4400,375
4404,384
4408,385
4412,384
4416,377
4420,384
4424,383
4428,383
4432,376
4436,385
4440,385
4444,385
4448,377
4452,383
4456,383
4460,385
4464,376
4468,385
4472,385
4476,385
4480,377
4484,383
4488,385
4492,385
4496,376
4500,385
4504,385
4508,383
4512,377
4516,384
4520,384
4524,384
4528,375
4532,383
4536,384
4540,385
4544,378
4548,384
4552,383
4556,383
4560,375
4564,385
4568,385
4572,386
4576,377
4580,383
4584,384
4588,383
4592,375
4596,385
4600,385
4604,385
4608,376
4612,381
4616,381
4620,383
4624,375
4628,381
4632,383
4636,383
4640,373
4644,380
4648,383
4652,384
4656,375
4660,383
4664,382
4668,381
4672,375
4676,382
4680,380
4684,381
4688,373
4692,383
4696,384
4700,382
4704,375
4708,385
4712,383
4716,381
4720,373
4724,383
4728,384
4732,383
4736,375
