l2_size(MB),bw(GB/s)
1,4.15646
2,4.17407
3,4.21193
4,4.1368
5,4.13933
6,4.13963
7,4.17561
8,4.13148
9,4.13811
10,4.18967
11,4.13867
12,4.13292
13,4.2054
14,4.14815
15,4.13793
16,4.20897
17,4.16498
18,4.08693
19,4.03988
20,4.03813
21,4.08073
22,4.04093
23,4.0367
24,4.07798
25,4.04084
26,4.02943
27,4.0743
28,4.04218
29,4.01305
30,3.97522
31,3.84678
32,3.79734
33,3.62663
34,3.476
35,3.32176
36,3.14108
37,3.02879
38,2.89913
39,2.80596
40,2.50478
41,2.25755
42,2.12492
43,2.12928
44,2.08944
45,2.0102
46,2.01283
47,2.01559
48,2.0173
49,2.02152
50,2.02565
51,2.02531
52,2.04682
53,2.02752
54,2.03337
55,2.03612
56,2.03628
57,2.03625
58,2.03505
59,2.03592
